"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "JavaScript", "Batch", "Gradle", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app\verificationPhone\[phone].tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 8, 141
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\babel.config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\CustomHeader.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 4, 80
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\Dropdown.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\EditScreenInfo.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 8, 78
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\ExternalLink.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 2, 26
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\RoundBtn.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\StyledText.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\Themed.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 11, 46
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\__tests__\StyledText-test.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\useClientOnlyValue.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\useClientOnlyValue.web.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\useColorScheme.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\components\useColorScheme.web.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 1, 9
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\constants\Colors.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\constants\Styles.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\package-lock.json", "JSON", 0, 22688, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22689
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\package.json", "JSON", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\store\balanceStore.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\store\mmkv-storage.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 17, 22796, 1140, 1675, 14, 41, 132, 20, 93, 190, 281, 26399
